epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
62,1248.06,0.33237,0.4042,0.35541,0.90231,0,0.92548,0.88727,0.89153,0.77707,0.92548,0.88727,0.89084,0.82404,0.48414,1.7736,0.47898,0.99322,0,0.00049025,0.00049025,0.00049025
63,1266.76,0.30832,0.32906,0.34162,0.90459,0,0.95737,0.85714,0.88828,0.77585,0.95737,0.85714,0.88828,0.81202,0.44802,1.78093,0.50233,0.97738,0,0.0004655,0.0004655,0.0004655
64,1285.3,0.32307,0.36115,0.34337,0.91056,0,0.99935,0.85714,0.88833,0.80047,0.99935,0.85714,0.88833,0.83976,0.44506,1.60827,0.50019,0.98788,0,0.00044075,0.00044075,0.00044075
65,1304.13,0.29456,0.34571,0.31695,0.89694,0,0.99568,0.82143,0.88841,0.79397,0.99568,0.82143,0.88841,0.83631,0.45026,1.56136,0.50047,0.98251,0,0.000416,0.000416,0.000416
66,1323.04,0.31742,0.35034,0.32583,0.90394,0,0.95988,0.85448,0.88951,0.79906,0.95988,0.85448,0.88951,0.83278,0.4484,0.99189,0.44184,0.97272,0,0.00039125,0.00039125,0.00039125
67,1341.73,0.31121,0.41678,0.32104,0.89541,0,0.95736,0.85714,0.88951,0.78981,0.95736,0.85714,0.88951,0.82306,0.4353,0.74267,0.429,0.94888,0,0.0003665,0.0003665,0.0003665
68,1360.67,0.31724,0.38644,0.32177,0.90289,0,0.96149,0.89178,0.89231,0.80471,0.96149,0.89178,0.89231,0.83934,0.42585,0.64865,0.43562,0.9391,0,0.00034175,0.00034175,0.00034175
69,1379.37,0.30545,0.35554,0.31717,0.89684,0,0.9589,0.89286,0.89231,0.7945,0.9589,0.89286,0.89231,0.83188,0.44825,0.92317,0.43383,0.96473,0,0.000317,0.000317,0.000317
70,1397.94,0.28978,0.34862,0.32174,0.88538,0,0.95815,0.89286,0.895,0.7943,0.95815,0.89286,0.895,0.82747,0.48451,0.62853,0.43857,0.98295,0,0.00029225,0.00029225,0.00029225
71,1415.35,0.29775,0.2819,0.34988,0.90599,0,0.97028,0.89286,0.895,0.80272,0.97028,0.89286,0.895,0.83999,0.46249,0.62876,0.43372,0.97855,0,0.0002675,0.0002675,0.0002675
72,1432.4,0.28271,0.2884,0.32957,0.88209,0,0.95838,0.89286,0.89274,0.81072,0.95838,0.89286,0.89231,0.83939,0.47005,0.91668,0.45,1.00532,0,0.00024275,0.00024275,0.00024275
73,1450.77,0.28456,0.28055,0.34182,0.90559,0,0.92222,0.89286,0.88764,0.81006,0.92222,0.89286,0.88764,0.83187,0.44337,0.63701,0.43944,0.97764,0,0.000218,0.000218,0.000218
74,1468.15,0.27427,0.27711,0.31683,0.88731,0,0.96137,0.88889,0.89231,0.80971,0.96137,0.88889,0.89231,0.83253,0.43801,0.6743,0.4437,0.96192,0,0.00019325,0.00019325,0.00019325
75,1485.46,0.26101,0.26189,0.30584,0.89136,0,0.92553,0.88784,0.89084,0.80207,0.92553,0.88784,0.89084,0.82944,0.45645,0.7992,0.48945,0.97222,0,0.0001685,0.0001685,0.0001685
76,1503.03,0.26937,0.25961,0.30218,0.89283,0,0.95696,0.85714,0.88951,0.79463,0.95696,0.85714,0.88951,0.82885,0.46321,0.69091,0.49152,0.98139,0,0.00014375,0.00014375,0.00014375
77,1520.77,0.25079,0.24782,0.2985,0.85941,0,0.95734,0.85714,0.88951,0.79721,0.95734,0.85714,0.88951,0.83166,0.4523,0.68517,0.46506,0.97685,0,0.000119,0.000119,0.000119
78,1538.68,0.25232,0.25802,0.29304,0.86199,0,0.96436,0.85714,0.89204,0.80806,0.96436,0.85714,0.89204,0.83002,0.41766,0.65787,0.43866,0.95892,0,9.425e-05,9.425e-05,9.425e-05
79,1556.11,0.26194,0.23853,0.30382,0.91487,0,0.98259,0.85714,0.89204,0.80891,0.98259,0.85714,0.89204,0.83076,0.40676,1.19421,0.43124,0.95576,0,6.95e-05,6.95e-05,6.95e-05
80,1573.41,0.21605,0.24724,0.2695,0.84042,0,0.98541,0.85714,0.89204,0.80573,0.98541,0.85714,0.89204,0.82845,0.40863,1.33646,0.42615,0.96002,0,4.475e-05,4.475e-05,4.475e-05
